source_group,source_column,output_column,aggregation,notes
num_group1_helper,num_group1,num_group1_count,count_rows,
num_group1_helper,num_group1,num_group1_min,min,
num_group1_helper,num_group1,num_group1_max,max,
num_group1_helper,num_group1,num_group1_n_unique,count_distinct,
a1_native,存續中合約的分類。_1,存續中合約的分類。_1__mode,mode,
a1_native,存續中合約的分類。_1,存續中合約的分類。_1__n_unique,count_distinct,
a1_native,存續中合約的分類。_1,存續中合約的分類。_1__null_rate,null_rate,
a1_native,存續中合約的分類。_1,存續中合約的分類。_1__non_null_count,count_non_null,
a1_native,合約狀態。_1,合約狀態。_1__mode,mode,
a1_native,合約狀態。_1,合約狀態。_1__n_unique,count_distinct,
a1_native,合約狀態。_1,合約狀態。_1__null_rate,null_rate,
a1_native,合約狀態。_1,合約狀態。_1__non_null_count,count_non_null,
a1_native,其他合約價值的總和。,其他合約價值的總和。__mean,avg,
a1_native,其他合約價值的總和。,其他合約價值的總和。__max,max,
a1_native,其他合約價值的總和。,其他合約價值的總和。__min,min,
a1_native,其他合約價值的總和。,其他合約價值的總和。__std,stddev_samp,
a1_native,其他合約價值的總和。,其他合約價值的總和。__sum,sum,
a1_native,其他合約價值的總和。,其他合約價值的總和。__null_rate,null_rate,
a1_native,其他合約價值的總和。,其他合約價值的總和。__non_null_count,count_non_null,
a1_native,聯徵中心已結清授信合約的授信額度。,聯徵中心已結清授信合約的授信額度。__mean,avg,
a1_native,聯徵中心已結清授信合約的授信額度。,聯徵中心已結清授信合約的授信額度。__max,max,
a1_native,聯徵中心已結清授信合約的授信額度。,聯徵中心已結清授信合約的授信額度。__min,min,
a1_native,聯徵中心已結清授信合約的授信額度。,聯徵中心已結清授信合約的授信額度。__std,stddev_samp,
a1_native,聯徵中心已結清授信合約的授信額度。,聯徵中心已結清授信合約的授信額度。__sum,sum,
a1_native,聯徵中心已結清授信合約的授信額度。,聯徵中心已結清授信合約的授信額度。__null_rate,null_rate,
a1_native,聯徵中心已結清授信合約的授信額度。,聯徵中心已結清授信合約的授信額度。__non_null_count,count_non_null,
a1_native,存續中貸款的授信額度。_2,存續中貸款的授信額度。_2__mean,avg,
a1_native,存續中貸款的授信額度。_2,存續中貸款的授信額度。_2__max,max,
a1_native,存續中貸款的授信額度。_2,存續中貸款的授信額度。_2__min,min,
a1_native,存續中貸款的授信額度。_2,存續中貸款的授信額度。_2__std,stddev_samp,
a1_native,存續中貸款的授信額度。_2,存續中貸款的授信額度。_2__sum,sum,
a1_native,存續中貸款的授信額度。_2,存續中貸款的授信額度。_2__null_rate,null_rate,
a1_native,存續中貸款的授信額度。_2,存續中貸款的授信額度。_2__non_null_count,count_non_null,
a1_native,現有合約的未償金額。,現有合約的未償金額。__mean,avg,
a1_native,現有合約的未償金額。,現有合約的未償金額。__max,max,
a1_native,現有合約的未償金額。,現有合約的未償金額。__min,min,
a1_native,現有合約的未償金額。,現有合約的未償金額。__std,stddev_samp,
a1_native,現有合約的未償金額。,現有合約的未償金額。__sum,sum,
a1_native,現有合約的未償金額。,現有合約的未償金額。__null_rate,null_rate,
a1_native,現有合約的未償金額。,現有合約的未償金額。__non_null_count,count_non_null,
a1_native,客戶現有授信合約目前的逾期金額。,客戶現有授信合約目前的逾期金額。__mean,avg,
a1_native,客戶現有授信合約目前的逾期金額。,客戶現有授信合約目前的逾期金額。__max,max,
a1_native,客戶現有授信合約目前的逾期金額。,客戶現有授信合約目前的逾期金額。__min,min,
a1_native,客戶現有授信合約目前的逾期金額。,客戶現有授信合約目前的逾期金額。__std,stddev_samp,
a1_native,客戶現有授信合約目前的逾期金額。,客戶現有授信合約目前的逾期金額。__sum,sum,
a1_native,客戶現有授信合約目前的逾期金額。,客戶現有授信合約目前的逾期金額。__null_rate,null_rate,
a1_native,客戶現有授信合約目前的逾期金額。,客戶現有授信合約目前的逾期金額。__non_null_count,count_non_null,
a1_native,聯徵中心對客戶的分類。,聯徵中心對客戶的分類。__mode,mode,
a1_native,聯徵中心對客戶的分類。,聯徵中心對客戶的分類。__n_unique,count_distinct,
a1_native,聯徵中心對客戶的分類。,聯徵中心對客戶的分類。__null_rate,null_rate,
a1_native,聯徵中心對客戶的分類。,聯徵中心對客戶的分類。__non_null_count,count_non_null,
a1_native,存續中合約的最大逾期天數。,存續中合約的最大逾期天數。__mean,avg,
a1_native,存續中合約的最大逾期天數。,存續中合約的最大逾期天數。__max,max,
a1_native,存續中合約的最大逾期天數。,存續中合約的最大逾期天數。__min,min,
a1_native,存續中合約的最大逾期天數。,存續中合約的最大逾期天數。__std,stddev_samp,
a1_native,存續中合約的最大逾期天數。,存續中合約的最大逾期天數。__sum,sum,
a1_native,存續中合約的最大逾期天數。,存續中合約的最大逾期天數。__null_rate,null_rate,
a1_native,存續中合約的最大逾期天數。,存續中合約的最大逾期天數。__non_null_count,count_non_null,
a1_native,已結清合約的最大逾期天數。,已結清合約的最大逾期天數。__mean,avg,
a1_native,已結清合約的最大逾期天數。,已結清合約的最大逾期天數。__max,max,
a1_native,已結清合約的最大逾期天數。,已結清合約的最大逾期天數。__min,min,
a1_native,已結清合約的最大逾期天數。,已結清合約的最大逾期天數。__std,stddev_samp,
a1_native,已結清合約的最大逾期天數。,已結清合約的最大逾期天數。__sum,sum,
a1_native,已結清合約的最大逾期天數。,已結清合約的最大逾期天數。__null_rate,null_rate,
a1_native,已結清合約的最大逾期天數。,已結清合約的最大逾期天數。__non_null_count,count_non_null,
a1_native,聯徵中心存續合約的分期金額。,聯徵中心存續合約的分期金額。__mean,avg,
a1_native,聯徵中心存續合約的分期金額。,聯徵中心存續合約的分期金額。__max,max,
a1_native,聯徵中心存續合約的分期金額。,聯徵中心存續合約的分期金額。__min,min,
a1_native,聯徵中心存續合約的分期金額。,聯徵中心存續合約的分期金額。__std,stddev_samp,
a1_native,聯徵中心存續合約的分期金額。,聯徵中心存續合約的分期金額。__sum,sum,
a1_native,聯徵中心存續合約的分期金額。,聯徵中心存續合約的分期金額。__null_rate,null_rate,
a1_native,聯徵中心存續合約的分期金額。,聯徵中心存續合約的分期金額。__non_null_count,count_non_null,
a1_native,已結清合約的分期金額。,已結清合約的分期金額。__mean,avg,
a1_native,已結清合約的分期金額。,已結清合約的分期金額。__max,max,
a1_native,已結清合約的分期金額。,已結清合約的分期金額。__min,min,
a1_native,已結清合約的分期金額。,已結清合約的分期金額。__std,stddev_samp,
a1_native,已結清合約的分期金額。,已結清合約的分期金額。__sum,sum,
a1_native,已結清合約的分期金額。,已結清合約的分期金額。__null_rate,null_rate,
a1_native,已結清合約的分期金額。,已結清合約的分期金額。__non_null_count,count_non_null,
a1_native,存續中合約的每月分期金額。,存續中合約的每月分期金額。__mean,avg,
a1_native,存續中合約的每月分期金額。,存續中合約的每月分期金額。__max,max,
a1_native,存續中合約的每月分期金額。,存續中合約的每月分期金額。__min,min,
a1_native,存續中合約的每月分期金額。,存續中合約的每月分期金額。__std,stddev_samp,
a1_native,存續中合約的每月分期金額。,存續中合約的每月分期金額。__sum,sum,
a1_native,存續中合約的每月分期金額。,存續中合約的每月分期金額。__null_rate,null_rate,
a1_native,存續中合約的每月分期金額。,存續中合約的每月分期金額。__non_null_count,count_non_null,
a1_native,已結清合約的每月分期繳款金額。,已結清合約的每月分期繳款金額。__mean,avg,
a1_native,已結清合約的每月分期繳款金額。,已結清合約的每月分期繳款金額。__max,max,
a1_native,已結清合約的每月分期繳款金額。,已結清合約的每月分期繳款金額。__min,min,
a1_native,已結清合約的每月分期繳款金額。,已結清合約的每月分期繳款金額。__std,stddev_samp,
a1_native,已結清合約的每月分期繳款金額。,已結清合約的每月分期繳款金額。__sum,sum,
a1_native,已結清合約的每月分期繳款金額。,已結清合約的每月分期繳款金額。__null_rate,null_rate,
a1_native,已結清合約的每月分期繳款金額。,已結清合約的每月分期繳款金額。__non_null_count,count_non_null,
a1_native,已結清合約的未繳分期期數。,已結清合約的未繳分期期數。__mean,avg,
a1_native,已結清合約的未繳分期期數。,已結清合約的未繳分期期數。__max,max,
a1_native,已結清合約的未繳分期期數。,已結清合約的未繳分期期數。__min,min,
a1_native,已結清合約的未繳分期期數。,已結清合約的未繳分期期數。__std,stddev_samp,
a1_native,已結清合約的未繳分期期數。,已結清合約的未繳分期期數。__sum,sum,
