聚合後欄位名稱,中文說明,特徵類型,來源/主題,計算方式
case_id,案件 ID,主鍵,原始欄位,與 num_group1 一起作為聚合主鍵
num_group1,合約/群組序號,主鍵,原始欄位,與 case_id 一起作為聚合主鍵
active_dpd_mean,存續合約繳款逾期天數 - 平均值,連續型基本統計,存續合約繳款逾期天數,非空值平均
active_dpd_max,存續合約繳款逾期天數 - 最大值,連續型基本統計,存續合約繳款逾期天數,非空值最大值
active_dpd_std,存續合約繳款逾期天數 - 標準差,連續型基本統計,存續合約繳款逾期天數,樣本標準差 stddev_samp
active_dpd_median,存續合約繳款逾期天數 - 中位數,連續型基本統計,存續合約繳款逾期天數,median
active_dpd_mode,存續合約繳款逾期天數 - 眾數,連續型基本統計,存續合約繳款逾期天數,最常出現的值
active_dpd_n_unique,存續合約繳款逾期天數 - 不同值數量,連續型基本統計,存續合約繳款逾期天數,count distinct
active_dpd_positive_count,存續合約繳款逾期天數 - 大於 0 的筆數,連續型基本統計,存續合約繳款逾期天數,x > 0 的筆數
active_dpd_overdue_rate,存續合約繳款逾期天數 - 大於 0 的比例,連續型基本統計,存續合約繳款逾期天數,大於 0 筆數 / 非空筆數
active_dpd_mean_positive,存續合約繳款逾期天數 - 大於 0 時的平均值,連續型基本統計,存續合約繳款逾期天數,只計算 x > 0 的平均
active_dpd_sum_positive,存續合約繳款逾期天數 - 大於 0 的總和,連續型基本統計,存續合約繳款逾期天數,只加總 x > 0
active_dpd_null_count,存續合約繳款逾期天數 - 缺失筆數,連續型基本統計,存續合約繳款逾期天數,NULL 筆數
active_dpd_null_rate,存續合約繳款逾期天數 - 缺失比例,連續型基本統計,存續合約繳款逾期天數,NULL 筆數 / 總筆數
active_dpd_non_null_count,存續合約繳款逾期天數 - 有資料筆數,連續型基本統計,存續合約繳款逾期天數,非 NULL 筆數
closed_dpd_mean,已終止/已結清合約繳款逾期天數 - 平均值,連續型基本統計,已終止/已結清合約繳款逾期天數,非空值平均
closed_dpd_max,已終止/已結清合約繳款逾期天數 - 最大值,連續型基本統計,已終止/已結清合約繳款逾期天數,非空值最大值
closed_dpd_std,已終止/已結清合約繳款逾期天數 - 標準差,連續型基本統計,已終止/已結清合約繳款逾期天數,樣本標準差 stddev_samp
closed_dpd_median,已終止/已結清合約繳款逾期天數 - 中位數,連續型基本統計,已終止/已結清合約繳款逾期天數,median
closed_dpd_mode,已終止/已結清合約繳款逾期天數 - 眾數,連續型基本統計,已終止/已結清合約繳款逾期天數,最常出現的值
closed_dpd_n_unique,已終止/已結清合約繳款逾期天數 - 不同值數量,連續型基本統計,已終止/已結清合約繳款逾期天數,count distinct
closed_dpd_positive_count,已終止/已結清合約繳款逾期天數 - 大於 0 的筆數,連續型基本統計,已終止/已結清合約繳款逾期天數,x > 0 的筆數
closed_dpd_overdue_rate,已終止/已結清合約繳款逾期天數 - 大於 0 的比例,連續型基本統計,已終止/已結清合約繳款逾期天數,大於 0 筆數 / 非空筆數
closed_dpd_mean_positive,已終止/已結清合約繳款逾期天數 - 大於 0 時的平均值,連續型基本統計,已終止/已結清合約繳款逾期天數,只計算 x > 0 的平均
closed_dpd_sum_positive,已終止/已結清合約繳款逾期天數 - 大於 0 的總和,連續型基本統計,已終止/已結清合約繳款逾期天數,只加總 x > 0
closed_dpd_null_count,已終止/已結清合約繳款逾期天數 - 缺失筆數,連續型基本統計,已終止/已結清合約繳款逾期天數,NULL 筆數
closed_dpd_null_rate,已終止/已結清合約繳款逾期天數 - 缺失比例,連續型基本統計,已終止/已結清合約繳款逾期天數,NULL 筆數 / 總筆數
closed_dpd_non_null_count,已終止/已結清合約繳款逾期天數 - 有資料筆數,連續型基本統計,已終止/已結清合約繳款逾期天數,非 NULL 筆數
active_overdue_mean,存續合約逾期繳款金額/數值 - 平均值,連續型基本統計,存續合約逾期繳款金額/數值,非空值平均
active_overdue_max,存續合約逾期繳款金額/數值 - 最大值,連續型基本統計,存續合約逾期繳款金額/數值,非空值最大值
active_overdue_std,存續合約逾期繳款金額/數值 - 標準差,連續型基本統計,存續合約逾期繳款金額/數值,樣本標準差 stddev_samp
active_overdue_median,存續合約逾期繳款金額/數值 - 中位數,連續型基本統計,存續合約逾期繳款金額/數值,median
active_overdue_mode,存續合約逾期繳款金額/數值 - 眾數,連續型基本統計,存續合約逾期繳款金額/數值,最常出現的值
active_overdue_n_unique,存續合約逾期繳款金額/數值 - 不同值數量,連續型基本統計,存續合約逾期繳款金額/數值,count distinct
active_overdue_positive_count,存續合約逾期繳款金額/數值 - 大於 0 的筆數,連續型基本統計,存續合約逾期繳款金額/數值,x > 0 的筆數
active_overdue_overdue_rate,存續合約逾期繳款金額/數值 - 大於 0 的比例,連續型基本統計,存續合約逾期繳款金額/數值,大於 0 筆數 / 非空筆數
active_overdue_mean_positive,存續合約逾期繳款金額/數值 - 大於 0 時的平均值,連續型基本統計,存續合約逾期繳款金額/數值,只計算 x > 0 的平均
active_overdue_sum_positive,存續合約逾期繳款金額/數值 - 大於 0 的總和,連續型基本統計,存續合約逾期繳款金額/數值,只加總 x > 0
active_overdue_null_count,存續合約逾期繳款金額/數值 - 缺失筆數,連續型基本統計,存續合約逾期繳款金額/數值,NULL 筆數
active_overdue_null_rate,存續合約逾期繳款金額/數值 - 缺失比例,連續型基本統計,存續合約逾期繳款金額/數值,NULL 筆數 / 總筆數
active_overdue_non_null_count,存續合約逾期繳款金額/數值 - 有資料筆數,連續型基本統計,存續合約逾期繳款金額/數值,非 NULL 筆數
closed_overdue_mean,已終止/已結清合約逾期繳款金額/數值 - 平均值,連續型基本統計,已終止/已結清合約逾期繳款金額/數值,非空值平均
closed_overdue_max,已終止/已結清合約逾期繳款金額/數值 - 最大值,連續型基本統計,已終止/已結清合約逾期繳款金額/數值,非空值最大值
closed_overdue_std,已終止/已結清合約逾期繳款金額/數值 - 標準差,連續型基本統計,已終止/已結清合約逾期繳款金額/數值,樣本標準差 stddev_samp
